//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
15509 - 2000 -1 -1 -1 5 5 60 0 SPECIAL -1 -1 PASSIVE
15454 - 2000 -1 -1 -1 5 5 60 0 SPECIAL -1 -1 AGRESSIVE
8531 - 10000 -1 12693 12694 5 5 0 322 SPECIAL -1 -1 PASSIVE
8528 - 10000 -1 12693 12694 5 5 0 322 SPECIAL -1 -1 AGRESSIVE
8529 - 10000 -1 12693 12694 5 5 0 322 SPECIAL -1 -1 AGRESSIVE
//TokHaar-Hur
15201 - 900 16098 16173 16178 5 2 60 124 MELEE -1 -1 AGRESSIVE
15202 - 1300 16148 16146 16145 5 2 60 194 RANGE -1 2985 AGRESSIVE
15203 - 1940 16127 16124 16123 5 2 60 245 SPECIAL -1 -1 AGRESSIVE
15204 - 1500 16180 16182 16181 5 2 60 214 MELEE -1 -1 AGRESSIVE
15205 - 700 16131 16130 16110 5 3 60 234 SPECIAL -1 -1 AGRESSIVE
15206 - 1000 16102 16101 16103 4 4 60 460 MELEE -1 -1 AGRESSIVE
15207 - 2000 16134 16135 16111 4 3 60 780 SPECIAL -1 -1 AGRESSIVE
15208 - 2500 16204 16201 16188 7 6 1 1014 SPECIAL -1 -1 AGRESSIVE
15211 - 12800 -1 16246 16235 4 3 60 1 SPECIAL -1 -1 PASSIVE
15212 - 12800 -1 16246 16235 4 3 60 1 SPECIAL -1 -1 PASSIVE
//TokHaar-Ket-Dill
15213 - 750 16210 16160 16197 8 3 60 250 MELEE -1 -1 AGRESSIVE
//TokHaar-Ket-Dill (after armour broken by pickaxe)
15214 - 750 16210 16160 16197 4 3 60 250 MELEE -1 -1 AGRESSIVE
//Har-Aken (Ranged Tentacle)
15209 - 700 16239 16253 16240 4 3 60 230 SPECIAL -1 -1 AGRESSIVE
//Har-Aken (Magic Tentacle)
15210 - 700 16252 16253 16243 4 3 60 230 SPECIAL -1 -1 AGRESSIVE
//jads jad, TokHaar-Jad
2745 - 2500 16204 16201 16188 7 6 1 998 SPECIAL -1 -1 AGRESSIVE
14416 - 1 16204 16201 16188 5 4 1 550 SPECIAL -1 -1 AGRESSIVE
//Bork
7133 - 3000 8754 8755 8756 8 3 60 254 MELEE -1 -1 AGRESSIVE
7134 - 3000 8754 8755 8756 8 3 60 254 MELEE -1 -1 AGRESSIVE
//Summoning 17 out of 74 so far
//Barricade
1532 - 500 -1 -1 -1 4 0 0 0 SPECIAL -1 -1 PASSIVE
1533 - 500 -1 -1 -1 4 4 0 0 SPECIAL -1 -1 PASSIVE
//War tortoise
6816 - 3480 -1 -1 -1 4 4 0 244 SPECIAL -1 -1 PASSIVE
6815 - 3480 -1 -1 -1 4 4 0 244 SPECIAL -1 -1 PASSIVE
//Void spinner
7344 - 7540 8183 8185 8184 4 4 0 244 SPECIAL -1 -1 PASSIVE
7343 - 7540 8183 8185 8184 4 4 0 244 SPECIAL -1 -1 PASSIVE
//PackYak
6874 - 7100 853 851 852 5 3 0 180 MELEE -1 -1 PASSIVE
6873 - 7100 5782 5783 5784 5 3 0 180 MELEE -1 -1 PASSIVE
//Wolptinger
6870 - 210 8304 8306 8305 5 4 0 220 MAGE -1 -1 PASSIVE
6969 - 210 8304 8306 8305 5 4 0 220 MAGE -1 -1 PASSIVE
//Unicorn Stallion
6823 - 1000 6376 6375 6377 4 4 0 80 MELEE -1 -1 PASSIVE
6822 - 1000 6376 6375 6377 4 4 0 80 MELEE -1 -1 PASSIVE
//Spirit Wolf
6829 - 150 8292 8294 8295 5 4 0 40 MELEE -1 -1 PASSIVE
6828 - 150 8292 8294 8295 5 4 0 40 MELEE -1 -1 PASSIVE
//DreadFowl
6825 - 160 7810 5388 5389 5 4 0 40 MAGE -1 1318 PASSIVE
6824 - 160 7810 5388 5389 5 4 0 40 MAGE -1 1318 PASSIVE
//Spirit Spider
6841 - 180 5327 5328 5329 4 4 0 30 MELEE -1 -1 PASSIVE
6840 - 180 5327 5328 5329 4 4 0 30 MELEE -1 -1 PASSIVE
//Thorny Snail
6807 - 280 8143 8145 8143 5 4 0 40 SPECIAL -1 -1 PASSIVE
6806 - 280 8143 8145 8143 5 4 0 40 SPECIAL -1 -1 PASSIVE
//Spirit Mosquito
7332 - 430 8032 8034 8033 4 4 0 42 MELEE -1 -1 PASSIVE
7331 - 430 8032 8034 8033 4 4 0 42 MELEE -1 -1 PASSIVE
//Granit Crab
6796 - 390 8104 8105 8106 3 4 0 40 MELEE -1 -1 PASSIVE
6795 - 390 8104 8105 8106 3 4 0 40 MELEE -1 -1 PASSIVE
//Desert Wyrm
6832 - 470 -1 -1 7797 4 4 0 42 SPECIAL -1 -1 PASSIVE
6831 - 470 7795 7796 7797 4 4 0 42 MELEE -1 -1 PASSIVE
//Spirit Scorpian
6838 - 670 6254 6255 6256 4 4 0 65 MELEE -1 -1 PASSIVE
6837 - 670 6254 6255 6256 4 4 0 65 MELEE -1 -1 PASSIVE
//Spriit Tz-keh
7362 - 620 8257 8256 8258 3 3 0 50 SPECIAL -1 -1 PASSIVE
7361 - 620 8257 8256 8258 3 3 0 50 SPECIAL -1 -1 PASSIVE
//Albino Rat
6848 - 680 4933 4934 4935 4 4 0 50 MELEE -1 -1 PASSIVE
6847 - 680 4933 4934 4935 4 4 0 50 MELEE -1 -1 PASSIVE
//Spirit Kalphite
6995 - 770 8519 8518 8517 4 4 0 50 SPECIAL -1 -1 PASSIVE
6994 - 770 8519 8518 8517 4 4 0 50 SPECIAL -1 -1 PASSIVE
//Bunyip
6814 - 400 7741 7742 7740 4 4 0 85 MELEE -1 -1 PASSIVE
6813 - 400 7741 7742 7740 4 4 0 85 MELEE -1 -1 PASSIVE
//Abbysal Titan
7350 - 6670 7693 7691 7979 4 4 0 229 MELEE -1 -1 PASSIVE
7349 - 6670 7693 7691 7979 4 4 0 229 MELEE -1 -1 PASSIVE
//Lava Titan
7342 - 5280 7980 7981 7692 4 4 0 140 SPECIAL -1 -1 PASSIVE
7341 - 5280 7980 7981 7692 4 4 0 140 SPECIAL -1 -1 PASSIVE
//Geyser Titan
7340 - 6200 7879 7878 7880 4 4 0 215 SPECIAL -1 -1 PASSIVE
7339 - 6200 7879 7878 7880 4 4 0 215 SPECIAL -1 -1 PASSIVE
//Fire Titan
7356 - 4760 7834 7832 7833 4 4 0 152 MAGE -1 -1 PASSIVE
2355 - 4760 7834 7832 7833 4 4 0 152 MAGE -1 -1 PASSIVE
//Ice Titan
7360 - 4760 8183 8185 8184 4 4 0 152 MELEE -1 -1 PASSIVE
7359 - 4760 8183 8185 8184 4 4 0 152 MELEE -1 -1 PASSIVE
//Moss Titan 
7358 - 4760 7844 7842 7843 4 4 0 150 MELEE -1 -1 PASSIVE
7357 - 4760 7844 7842 7843 4 4 0 150 MELEE -1 -1 PASSIVE
//Swamp Titan
7330 - 5560 8222 8224 8226 4 4 0 160 SPECIAL -1 -1 PASSIVE
7329 - 5560 8222 8224 8226 4 4 0 160 SPECIAL -1 -1 PASSIVE
//Iron Titan
7376 - 6940 7946 7948 7947 4 4 0 230 SPECIAL -1 -1 PASSIVE
7375 - 6940 7946 7948 7947 4 4 0 230 SPECIAL -1 -1 PASSIVE
//Spirit Terror Bird
6795 - 2330 1010 1011 1012 4 4 0 76 MELEE -1 -1 PASSIVE
6794 - 2330 1010 1011 1012 4 4 0 76 MELEE -1 -1 PASSIVE
//Lucien custom boss
14256 - 32500 11375 11365 -1 5 2 10 1500 SPECIAL -1 -1 AGRESSIVE
1234 - 4760 7834 7832 7833 5 4 0 152 SPECIAL -1 -1 PASSIVE
1233 - 4760 7834 7832 7833 5 4 0 152 SPECIAL -1 -1 PASSIVE
//DT Bouncer
14483 - 1160 6581 6563 6564 4 3 60 140 MELEE -1 -1 AGRESSIVE
//DT Black Knight Titan 
14436 - 1420 128 129 131 6 3 60 150 MELEE -1 -1 AGRESSIVE
//Evil Chicken
3375 - 1200 2302 2302 2301 4 2 0 50 SPECIAL2 -1 -1 AGRESSIVE
// Elvarg
742 - 800 12252 12251 12250 5 1 60 100 SPECIAL2 -1 -1 AGRESSIVE
//DT Elvarg
